coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
XRP,1.674,39.0,82.26,30976,2.97,3
XRP,5.907,61.4,2.43,18,2.97,3
XRP,3.85,63.8,2.14,14,2.97,2
XRP,2.486,52.7,0.2,5,2.97,1
XRP,2.857,52.7,14.06,282,2.97,3
XRP,2.115,61.7,1.48,25,2.97,2
XRP,2.385,59.8,9.59,206,2.97,3
XRP,1.515,58.8,0.71,2,2.97,1
XRP,1.987,58.8,8.26,67,2.97,3
XRP,2.064,74.5,0.71,8,2.97,1
XRP,2.563,76.2,3.27,11,2.97,3
XRP,2.646,76.2,0.0,1,2.97,1
XRP,2.815,76.2,1.0,5,2.97,1
XRP,1.841,66.4,0.0,1,2.97,1
XRP,2.455,66.4,0.58,4,2.97,1
XRP,2.902,66.4,0.0,1,2.97,1
XRP,2.714,60.1,13.6,60,2.97,3
XRP,2.581,60.6,47.91,4075,2.97,3
LINK,,,0.02,11,2.97,1
LINK,,,5.19,117,2.97,3
LINK,,,2.45,24,2.97,2
LINK,,,0.1,2,2.97,1
LINK,,,1.29,7,2.97,2
LINK,,,0.81,2,2.97,1
LINK,,,0.76,4,2.97,1
LINK,,,1.79,5,2.97,2
LINK,,,5.35,61,2.97,3
LINK,,,1.89,14,2.97,2
LINK,,,5.99,70,2.97,3
LINK,,,0.98,2,2.97,2
LINK,,,1.9,7,2.97,2
LINK,,,10.46,172,2.97,3
LINK,,,2.44,16,2.97,2
LINK,,,1.3,12,2.97,2
LINK,,,0.0,1,2.97,1
LINK,,,2.96,34,2.97,3
LINK,,,1.47,24,2.97,2
LINK,3.876,67.7,5.74,35,2.97,3
LINK,0.725,58.8,0.0,1,2.97,1
LINK,1.149,58.8,1.46,6,2.97,2
LINK,1.206,58.8,0.3,3,2.97,1
LINK,1.339,58.8,0.3,3,2.97,1
LINK,1.971,58.8,2.94,8,2.97,2
LINK,1.999,56.4,6.85,20,2.97,3
LINK,2.181,56.4,1.01,5,2.97,1
LINK,2.477,51.9,11.15,79,2.97,3
LINK,2.37,64.3,2.38,8,2.97,2
LINK,2.793,64.3,1.11,3,2.97,2
LINK,2.973,65.3,1.72,10,2.97,2
LINK,1.246,50.7,0.0,1,2.97,1
LINK,1.144,50.7,1.41,3,2.97,2
