deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
155,ATOM/USDT,2025-06-26T00:00:00+00:00,2025-07-01T00:00:00+00:00,SHORT_DCA,3,4869.3,73.156,1.5,120.0
156,ATOM/USDT,2025-07-02T00:00:00+00:00,2025-07-04T00:00:00+00:00,SHORT_DCA,1,2246.06,87.0242,3.87,48.0
157,ATOM/USDT,2025-07-05T00:00:00+00:00,2025-07-31T00:00:00+00:00,SHORT_DCA,10,7367.4,127.3434,1.73,624.0
158,ATOM/USDT,2025-08-01T00:00:00+00:00,2025-08-19T00:00:00+00:00,SHORT_DCA,6,6806.06,101.8014,1.5,432.0
159,ATOM/USDT,2025-08-20T00:00:00+00:00,2025-08-25T00:00:00+00:00,SHORT_DCA,3,5136.78,251.2817,4.89,120.0
160,ATOM/USDT,2025-08-26T00:00:00+00:00,2025-08-29T00:00:00+00:00,SHORT_DCA,2,4130.4,121.5603,2.94,72.0
161,ATOM/USDT,2025-08-30T00:00:00+00:00,2025-09-01T00:00:00+00:00,SHORT_DCA,1,2468.47,57.4002,2.33,48.0
162,ATOM/USDT,2025-09-02T00:00:00+00:00,2025-09-04T00:00:00+00:00,SHORT_DCA,2,4227.15,73.9405,1.75,48.0
163,ATOM/USDT,2025-09-05T00:00:00+00:00,2025-09-19T00:00:00+00:00,SHORT_DCA,4,6356.71,114.388,1.8,336.0
164,ATOM/USDT,2025-09-20T00:00:00+00:00,2025-09-22T00:00:00+00:00,SHORT_DCA,1,2545.18,146.356,5.75,48.0
165,ATOM/USDT,2025-09-23T00:00:00+00:00,2025-09-25T00:00:00+00:00,SHORT_DCA,1,2595.25,68.3964,2.64,48.0
166,ATOM/USDT,2025-09-26T00:00:00+00:00,2025-10-07T00:00:00+00:00,SHORT_DCA,2,4448.81,137.4637,3.09,264.0
167,ATOM/USDT,2025-10-08T00:00:00+00:00,2025-10-09T00:00:00+00:00,SHORT_DCA,1,2661.0,69.9687,2.63,24.0
168,ATOM/USDT,2025-10-10T00:00:00+00:00,2025-10-17T00:00:00+00:00,SHORT_DCA,5,7440.76,112.0924,1.51,168.0
169,ATOM/USDT,2025-10-18T00:00:00+00:00,2025-10-22T00:00:00+00:00,SHORT_DCA,2,4620.4,143.2005,3.1,96.0
170,ATOM/USDT,2025-10-23T00:00:00+00:00,2025-10-28T00:00:00+00:00,SHORT_DCA,2,4698.43,154.4182,3.29,120.0
171,ATOM/USDT,2025-10-29T00:00:00+00:00,2025-10-30T00:00:00+00:00,SHORT_DCA,1,2813.5,119.2632,4.24,24.0
172,ATOM/USDT,2025-10-31T00:00:00+00:00,2025-11-03T00:00:00+00:00,SHORT_DCA,2,4849.7,566.048,11.67,72.0
173,ATOM/USDT,2025-11-04T00:00:00+00:00,2025-11-21T00:00:00+00:00,SHORT_DCA,6,9082.7,635.1139,6.99,408.0
174,ATOM/USDT,2025-11-22T00:00:00+00:00,2025-11-25T00:00:00+00:00,SHORT_DCA,1,3312.93,59.6628,1.8,72.0
175,ATOM/USDT,2025-11-26T00:00:00+00:00,2025-11-28T00:00:00+00:00,SHORT_DCA,1,3331.51,104.8837,3.15,48.0
